AccXmin,AccYmin,AccZmin,AccXmax,AccYmax,AccZmax,AccXmean,AccYmean,AccZmean,GyrXmin,GyrYmin,GyrZmin,GyrXmax,GyrYmax,GyrZmax,GyrXmean,GyrYmean,GyrZmean,StartTime,EndTime
1.64,-1.89,-0.26,1.67,-1.88,-0.23,1.659666667,-1.880666667,-0.241,-8.25,0.38,3.19,-7.88,1.09,3.63,-8.092666667,0.810666667,3.404666667,18:44.3,30:24.4
1.65,-1.89,-0.25,1.68,-1.87,-0.23,1.6599999999999997,-1.8800000000000003,-0.24000000000000013,-8.29,0.41,3.18,-7.91,1.34,3.6,-8.119000000000002,0.7969999999999999,3.4080000000000004,2021-01-02 17:30:28.409297,2021-01-02 17:33:02.630227
1.64,-1.89,-0.25,1.68,-1.87,-0.23,1.658,-1.880333333333334,-0.24166666666666678,-8.27,0.23,3.22,-7.88,1.18,3.58,-8.082666666666668,0.8386666666666667,3.403,2021-01-02 17:33:06.606580,2021-01-02 17:34:04.604416
1.65,-1.89,-0.25,1.7,-1.87,-0.23,1.6616666666666664,-1.879333333333334,-0.24333333333333343,-8.28,0.34,3.21,-7.92,1.14,3.74,-8.106333333333334,0.8223333333333334,3.386666666666667,2021-01-02 17:34:08.617894,2021-01-02 17:35:06.604983
1.64,-1.89,-0.25,1.68,-1.87,-0.23,1.6579999999999997,-1.8803333333333339,-0.24100000000000013,-8.25,0.56,3.21,-7.91,1.09,3.66,-8.109333333333334,0.8413333333333333,3.417666666666667,2021-01-02 17:35:10.604318,2021-01-02 17:36:24.605541
1.65,-1.89,-0.25,1.67,-1.87,-0.23,1.659666666666666,-1.8800000000000001,-0.2406666666666668,-8.27,0.59,3.22,-7.9,1.15,3.63,-8.104333333333333,0.8353333333333334,3.401333333333334,2021-01-02 17:36:28.605728,2021-01-02 17:37:26.609971
1.54,-1.91,-0.52,1.69,-1.87,-0.23,1.635333333333333,-1.886666666666666,-0.2993333333333334,-33.83,-43.63,3.28,-7.89,1.26,17.71,-8.956666666666667,-0.6363333333333333,3.8560000000000016,2021-01-02 17:37:30.637289,2021-01-02 17:38:28.616500
1.56,-1.92,-0.5,1.58,-1.9,-0.48,1.5673333333333337,-1.9089999999999985,-0.4880000000000002,-8.31,0.39,3.23,-7.72,1.28,3.66,-8.112666666666668,0.8669999999999998,3.4216666666666673,2021-01-02 17:38:32.623838,2021-01-02 17:39:30.610262
1.56,-1.92,-0.5,1.58,-1.9,-0.47,1.5680000000000003,-1.9096666666666653,-0.48466666666666686,-8.3,0.19,3.21,-7.91,1.24,3.56,-8.072333333333335,0.7366666666666669,3.3873333333333333,2021-01-02 17:39:34.612618,2021-01-02 17:40:32.617227
1.56,-1.92,-0.5,1.58,-1.9,-0.47,1.5703333333333334,-1.907666666666665,-0.4836666666666669,-8.3,0.52,3.16,-7.92,1.25,3.58,-8.062333333333335,0.8593333333333336,3.3843333333333327,2021-01-02 17:40:36.607651,2021-01-02 17:41:34.611744
1.56,-1.91,-0.49,1.67,-1.87,-0.23,1.594666666666666,-1.9009999999999998,-0.4203333333333335,-8.34,0.18,3.25,-7.97,1.33,3.63,-8.100666666666667,0.8196666666666667,3.4566666666666674,2021-01-02 17:41:38.610490,2021-01-02 17:42:36.614949
1.64,-1.89,-0.29,1.68,-1.87,-0.23,1.6589999999999996,-1.8810000000000007,-0.24433333333333343,-8.31,-17.1,3.21,0.33,1.15,7.25,-7.811999999999999,0.2240000000000001,3.549333333333333,2021-01-02 17:42:40.608825,2021-01-02 17:43:38.606381
1.65,-1.89,-0.25,1.68,-1.88,-0.23,1.6583333333333325,-1.8820000000000006,-0.23900000000000016,-8.38,0.69,3.2,-7.93,1.09,3.6,-8.132000000000001,0.8646666666666667,3.393666666666667,2021-01-02 17:43:42.607435,2021-01-02 17:44:40.609139
