AccXmin,AccYmin,AccZmin,AccXmax,AccYmax,AccZmax,AccXmean,AccYmean,AccZmean,GyrXmin,GyrYmin,GyrZmin,GyrXmax,GyrYmax,GyrZmax,GyrXmean,GyrYmean,GyrZmean,StartTime,EndTime
0.67,-2.0,-0.44,1.68,-1.93,0.14,1.0089655172413796,-1.9879310344827585,0.004137931034482755,-12.12,-32.05,-4.66,3.18,9.8,51.45,-7.733793103448275,0.14931034482758612,5.162068965517242,2020-10-05 13:02:46.024777,2020-10-05 13:03:43.907844
-0.09,-2.0,0.09,0.72,-1.71,1.19,0.6103333333333335,-1.869666666666667,0.761,-10.33,-62.31,-10.36,38.92,8.67,17.24,-5.5903333333333345,-1.7466666666666666,3.967666666666666,2020-10-05 13:03:47.923803,2020-10-05 13:04:51.857475
0.65,-1.94,-0.06,1.69,-1.8,1.15,1.123666666666667,-1.8613333333333333,0.5846666666666667,-9.02,-32.47,3.23,7.24,8.56,78.22,-7.771333333333334,-0.0796666666666666,7.936666666666667,2020-10-05 13:04:55.854317,2020-10-05 13:05:53.879954
0.71,-1.97,-0.19,1.69,-1.81,1.03,1.255666666666667,-1.8823333333333339,0.4516666666666666,-24.96,-16.94,-4.34,97.98,35.05,6.95,-3.0099999999999993,1.6859999999999997,3.1116666666666677,2020-10-05 13:05:57.933439,2020-10-05 13:06:55.848954
0.67,-2.0,0.08,0.73,-1.79,1.01,0.6876666666666664,-1.962,0.27933333333333316,-8.55,0.56,1.22,-8.08,1.02,3.95,-8.286666666666667,0.781,3.512666666666667,2020-10-05 13:06:59.846507,2020-10-05 13:07:57.909870
0.54,-2.0,0.09,0.71,-1.81,1.01,0.6763333333333331,-1.9756666666666667,0.24866666666666667,-10.3,-8.6,3.33,59.12,21.57,16.64,-6.123666666666668,1.227,3.9990000000000006,2020-10-05 13:08:01.933391,2020-10-05 13:08:59.927676
0.69,-1.82,1.0,0.71,-1.8,1.03,0.7050000000000001,-1.8123333333333338,1.0116666666666672,-8.57,0.47,3.44,-8.1,1.0,3.74,-8.325333333333335,0.7889999999999998,3.595999999999999,2020-10-05 13:09:03.900491,2020-10-05 13:10:01.945216
0.71,-1.91,-0.15,1.6,-0.9,1.01,1.0153333333333336,-1.3523333333333332,0.2739999999999999,-9.31,-36.88,-0.12,25.16,3.72,18.46,-6.626666666666665,-0.645,3.991333333333334,2020-10-05 13:10:05.933618,2020-10-05 13:11:05.840243
0.72,-1.94,-0.1,1.69,-0.9,0.09,1.0603333333333333,-1.2629999999999992,-0.06266666666666669,-20.97,-25.65,1.93,-7.77,17.27,24.81,-8.687333333333333,0.5836666666666667,4.105333333333333,2020-10-05 13:11:09.852698,2020-10-05 13:12:07.896034
-0.43,-1.87,-0.28,0.74,-0.85,1.0,-0.1963333333333334,-1.782333333333333,0.08866666666666664,-10.5,-13.79,-6.11,18.86,12.41,5.13,-6.681666666666667,0.44666666666666666,3.201333333333334,2020-10-05 13:12:12.015704,2020-10-05 13:13:09.907527
-0.69,-1.87,-0.09,1.05,-1.78,1.02,0.29700000000000004,-1.816666666666666,0.6050000000000002,-33.85,0.61,-33.79,-8.08,250.13,3.56,-9.189666666666666,9.189333333333336,2.1283333333333334,2020-10-05 13:13:13.880398,2020-10-05 13:21:10.995316
-0.33,-1.87,-0.1,-0.31,-1.86,-0.08,-0.3196666666666667,-1.864666666666666,-0.09133333333333334,-8.56,0.53,3.13,-8.12,1.05,3.6,-8.329666666666665,0.7883333333333334,3.4123333333333337,2020-10-05 13:21:14.974595,2020-10-05 13:22:13.095410
-0.33,-2.0,-0.1,0.2,-1.86,0.06,-0.10766666666666662,-1.9226666666666667,-0.032999999999999995,-8.59,-4.49,-31.28,53.47,1.03,3.64,-6.308333333333333,0.6513333333333332,2.232666666666666,2020-10-05 13:22:17.388686,2020-10-05 13:23:19.061980
