StartTime,EndTime,Date,Activity
2020-10-17 15:58:46.302578,2020-10-18 19:38:30.313789,2020-10-18 19:38:30.313789,0
2020-10-18 19:45:57.738951,2020-10-18 19:46:55.731136,2020-10-18 19:46:55.731136,1
2020-10-18 19:46:59.738210,2020-10-18 19:47:59.772040,2020-10-18 19:47:59.772040,1
2020-10-18 19:48:03.737597,2020-10-18 19:49:01.739389,2020-10-18 19:49:01.739389,0
2020-10-18 19:49:05.733356,2020-10-18 19:52:15.755423,2020-10-18 19:52:15.755423,1
2020-10-18 19:52:19.751653,2020-10-18 19:53:17.744936,2020-10-18 19:53:17.744936,1
2020-10-18 19:53:21.744835,2020-10-18 19:54:21.740381,2020-10-18 19:54:21.740381,1
2020-10-18 19:54:25.742438,2020-10-18 20:00:35.334923,2020-10-18 20:00:35.334923,0
2020-10-18 20:00:39.335148,2020-10-18 20:01:37.343062,2020-10-18 20:01:37.343062,1
2020-10-18 20:01:41.337086,2020-10-18 20:02:39.327810,2020-10-18 20:02:39.327810,0
2020-10-18 20:02:43.395270,2020-10-18 20:03:41.354114,2020-10-18 20:03:41.354114,1
2020-10-18 20:03:45.333660,2020-10-18 20:04:45.680884,2020-10-18 20:04:45.680884,0
2020-10-18 20:04:49.333553,2020-10-18 20:05:47.331008,2020-10-18 20:05:47.331008,0
2020-10-18 20:05:51.334496,2020-10-18 20:06:49.337295,2020-10-18 20:06:49.337295,1
2020-10-18 20:06:53.330555,2020-10-18 20:07:55.370830,2020-10-18 20:07:55.370830,1
2020-10-18 20:07:59.355737,2020-12-22 11:26:16.584892,2020-12-22 11:26:16.584892,0
2020-12-22 11:26:22.581231,2020-12-22 11:27:20.584085,2020-12-22 11:27:20.584085,0
2020-12-22 11:27:24.575634,2020-12-22 11:28:22.582638,2020-12-22 11:28:22.582638,0
2020-12-22 11:28:26.577434,2020-12-22 11:29:26.585793,2020-12-22 11:29:26.585793,0
2020-12-22 11:29:30.576503,2020-12-28 16:34:42.668471,2020-12-28 16:34:42.668471,0
2020-12-28 16:34:48.659392,2020-12-28 16:41:25.310848,2020-12-28 16:41:25.310848,1
2020-12-28 16:41:29.314765,2020-12-28 16:49:41.886859,2020-12-28 16:49:41.886859,1
2020-12-28 16:49:45.893722,2020-12-28 16:51:12.186970,2020-12-28 16:51:12.186970,0
2020-12-28 16:51:16.180784,2020-12-28 16:52:14.183024,2020-12-28 16:52:14.183024,0
2020-12-28 16:52:18.184240,2020-12-28 16:54:22.182766,2020-12-28 16:54:22.182766,0
2020-12-28 16:54:26.188809,2020-12-28 16:55:24.182273,2020-12-28 16:55:24.182273,0
2020-12-28 16:55:28.192160,2020-12-28 16:56:26.182000,2020-12-28 16:56:26.182000,0
2020-12-28 16:56:30.192438,2020-12-28 16:57:28.187905,2020-12-28 16:57:28.187905,0
2020-12-28 16:57:32.214890,2020-12-28 16:58:30.181965,2020-12-28 16:58:30.181965,0
2020-12-28 16:58:34.184130,2021-01-02 17:54:31.371831,2021-01-02 17:54:31.371831,1
2021-01-02 17:54:35.364078,2021-01-02 18:01:39.910226,2021-01-02 18:01:39.910226,0
2021-01-02 18:01:43.906355,2021-01-02 18:05:51.207782,2021-01-02 18:05:51.207782,0
2021-01-02 18:05:55.202170,2021-01-02 18:06:53.222102,2021-01-02 18:06:53.222102,2
2021-01-02 18:06:57.223679,2021-01-02 18:08:39.207123,2021-01-02 18:08:39.207123,2
