timestamp,accelerometer_X,accelerometer_Y,accelerometer_Z,gyroscope_X,gyroscope_Y,gyroscope_Z
2020-10-18 19:08:42.006268,1.18,-1.19,0.17,106.53,-5.02,-114.57
2020-10-18 19:08:43.006950,0.80,-0.91,-0.03,-8.16,0.42,4.29
2020-10-18 19:08:45.013274,0.81,-0.91,-0.02,-8.09,0.76,4.15
2020-10-18 19:08:47.008597,0.77,-0.91,-0.01,-8.27,0.77,3.18
2020-10-18 19:08:48.995582,0.79,-0.91,-0.02,-7.67,0.94,4.92
2020-10-18 19:08:51.013732,2.00,-1.53,-0.20,250.13,-114.67,-32.63
2020-10-18 19:08:52.995676,1.44,-1.56,0.44,138.79,-250.14,30.10
2020-10-18 19:08:54.990059,1.83,-1.65,-0.96,-250.14,-7.16,-71.82
2020-10-18 19:08:56.996305,1.21,-1.89,-0.52,-233.06,250.13,2.40
2020-10-18 19:08:58.999425,1.76,-1.88,-0.23,-250.14,21.89,-13.76
2020-10-18 19:09:00.993190,1.76,-1.67,0.12,250.13,-174.64,25.31
2020-10-18 19:09:03.012050,1.74,-1.76,-0.20,-61.73,-31.24,-2.98
2020-10-18 19:09:05.136445,1.63,-1.74,-0.06,-20.42,222.62,-23.13
2020-10-18 19:09:06.993186,1.42,-1.80,0.10,-28.31,109.67,49.56
2020-10-18 19:09:09.053163,1.85,-1.51,-0.29,166.08,-211.40,39.98
2020-10-18 19:09:12.968517,1.82,-1.79,-0.38,-36.44,223.28,-244.82
2020-10-18 19:09:14.990898,2.00,0.42,-0.19,-250.14,-250.14,32.67
2020-10-18 19:09:16.993884,1.84,-1.84,-0.25,-65.63,43.39,-31.48
2020-10-18 19:09:18.993345,1.65,-1.66,-0.17,-6.69,-4.63,4.40
2020-10-18 19:09:20.994047,1.63,-1.57,-0.03,-8.98,6.02,-7.47
2020-10-18 19:09:22.992632,1.66,-1.65,-0.07,-13.94,-2.70,13.77
2020-10-18 19:09:24.992199,1.64,-1.73,-0.34,-142.46,-8.06,22.63
2020-10-18 19:09:27.002344,1.50,-1.79,0.15,12.54,135.37,65.85
2020-10-18 19:09:28.998513,1.47,-1.70,-0.18,-130.50,116.24,-18.05
2020-10-18 19:09:31.119088,1.59,-1.62,0.01,29.01,6.02,8.76
